,ABSPATH,LABEL,N_KEYWORDS,KEYWORDS
189,file190,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
190,file191,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
191,file192,WELLS,4,"['cal', 'cal', 'gr', 'gr']"
192,file193,CHECK MANUALLY,0,
193,file194,WELLS,1,['gr']
194,file195,CHECK MANUALLY,0,
195,file196,CHECK MANUALLY,0,
196,file197,WELLS,1,['gr']
197,file198,CHECK MANUALLY,0,
198,file199,CHECK MANUALLY,0,
199,file200,CHECK MANUALLY,0,
200,file201,CHECK MANUALLY,0,
201,file202,CHECK MANUALLY,0,
202,file203,CHECK MANUALLY,0,
203,file204,CHECK MANUALLY,0,
204,file205,CHECK MANUALLY,0,
205,file206,CHECK MANUALLY,0,
206,file207,CHECK MANUALLY,0,
207,file208,CHECK MANUALLY,0,
208,file209,CHECK MANUALLY,0,
209,file210,CHECK MANUALLY,0,
210,file211,CHECK MANUALLY,0,
211,file212,CHECK MANUALLY,0,
212,file213,CHECK MANUALLY,0,
213,file214,CHECK MANUALLY,0,
214,file215,CHECK MANUALLY,0,
215,file216,CHECK MANUALLY,0,
216,file217,CHECK MANUALLY,0,
217,file218,WELLS,1,['gr']
218,file219,CHECK MANUALLY,0,
219,file220,WELLS,1,['gr']
220,file221,CHECK MANUALLY,0,
221,file222,WELLS,8,"['spud date', 'cal', 'caliper', 'gr', 'gamma', 'neutron', 'resistivity', 'sonic']"
222,file223,DCM,2,"['dielectric constant measurements', 'sa']"
223,file224,DCM,2,"['dielectric constant measurements', 'sa']"
224,file225,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
225,file226,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
226,file227,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
227,file228,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
228,file229,WELLS,6,"['gamma', 'gamma', 'resistivity', 'resistivity', 'resistivity', 'resistivity']"
229,file230,WELLS,3,"['resistivity', 'resistivity', 'gamma']"
230,file231,WELLS,7,"['gamma', 'gamma', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'neutron']"
231,file232,WELLS,7,"['gamma', 'gamma', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'neutron']"
232,file233,CHECK MANUALLY,0,
233,file234,WELLS,2,"['northing', 'easting']"
234,file235,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
235,file236,CHECK MANUALLY,0,
236,file237,CHECK MANUALLY,0,
237,file238,CHECK MANUALLY,0,
238,file239,CHECK MANUALLY,0,
239,file240,CHECK MANUALLY,0,
240,file241,CHECK MANUALLY,0,
241,file242,DCM,1,['surface area']
242,file243,CHECK MANUALLY,0,
243,file244,GEOMECH,2,"['shmin', 'shmin']"
244,file245,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
245,file246,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
246,file247,DCM,1,['sa']
247,file248,DCM,1,['sa']
248,file249,DCM,1,['sa']
249,file250,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
250,file251,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
251,file252,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
252,file253,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
253,file254,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
254,file255,DCM,1,['sa']
255,file256,WELLS,69,"['gr', 'gr', 'gr', 'gamma', 'gr', 'gamma', 'gr', 'azimuth', 'caliper', 'resistivity', 'gr', 'caliper', 'mud type', 'latitude ', 'latitude ', 'longitude', 'longitude', 'neutron', 'inclination', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'azimuth', 'gamma', 'gamma', 'resistivity', 'caliper', 'caliper', 'caliper', 'azimuth', 'azimuth', 'gamma', 'gamma', 'inclination', 'inclination', 'gr', 'gamma', 'azimuth', 'azimuth', 'azimuth', 'gamma', 'azimuth', 'azimuth', 'azimuth', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'caliper', 'caliper', 'gamma', 'gamma', 'gr']"
256,file257,WELLS,69,"['gr', 'gr', 'gr', 'gamma', 'gr', 'gamma', 'gr', 'azimuth', 'caliper', 'resistivity', 'gr', 'caliper', 'mud type', 'latitude ', 'latitude ', 'longitude', 'longitude', 'neutron', 'inclination', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'azimuth', 'gamma', 'gamma', 'resistivity', 'caliper', 'caliper', 'caliper', 'azimuth', 'azimuth', 'gamma', 'gamma', 'inclination', 'inclination', 'gr', 'gamma', 'azimuth', 'azimuth', 'azimuth', 'gamma', 'azimuth', 'azimuth', 'azimuth', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'resistivity', 'caliper', 'caliper', 'gamma', 'gamma', 'gr']"
257,file258,DCM,2,"['dielectric constant measurements', 'sa']"
258,file259,DCM,2,"['dielectric constant measurements', 'sa']"
259,file260,CHECK MANUALLY,0,
260,file261,WELLS,2,"['latitude ', 'longitude']"
261,file262,WELLS,2,"['res', 'res']"
262,file263,WELLS,2,"['inclination', 'azimuth']"
263,file264,WELLS,3,"['den', 'latitude ', 'longitude']"
264,file265,CHECK MANUALLY,0,
265,file266,WELLS,3,"['den', 'latitude ', 'longitude']"
266,file267,WELLS,2,"['latitude ', 'longitude']"
267,file268,WELLS,3,"['den', 'latitude ', 'longitude']"
268,file269,WELLS,1,['den']
269,file270,WELLS,1,['den']
270,file271,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
271,file272,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
272,file273,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
273,file274,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
274,file275,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
275,file276,CHECK MANUALLY,0,
276,file277,WELLS,24,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
277,file278,WELLS,52,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
278,file279,WELLS,52,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
279,file280,WELLS,60,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
280,file281,WELLS,16,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
281,file282,WELLS,56,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
282,file283,WELLS,32,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
283,file284,WELLS,20,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
284,file285,WELLS,20,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
285,file286,WELLS,4,"['easting', 'northing', 'easting', 'northing']"
286,file287,WELLS,28,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
287,file288,WELLS,32,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting', 'latitude ', 'longitude', 'northing', 'easting']"
288,file289,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
289,file290,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
290,file291,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
291,file292,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
292,file293,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
293,file294,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
294,file295,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
295,file296,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
296,file297,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
297,file298,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
298,file299,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
299,file300,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
300,file301,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
301,file302,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
302,file303,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
303,file304,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
304,file305,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
305,file306,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
306,file307,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
307,file308,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
308,file309,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
309,file310,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
310,file311,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
311,file312,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
312,file313,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
313,file314,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
314,file315,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
315,file316,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
316,file317,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
317,file318,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
318,file319,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
319,file320,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
320,file321,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
321,file322,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
322,file323,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
323,file324,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
324,file325,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
325,file326,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
326,file327,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
327,file328,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
328,file329,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
329,file330,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
330,file331,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
331,file332,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
332,file333,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
333,file334,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
334,file335,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
